SoC,Approx_OCV
0.0,2.6190000000000007
0.005025125628140704,2.781045226130654
0.010050251256281407,2.8614221105527644
0.01507537688442211,2.923050251256282
0.020100502512562814,2.9700703517587943
0.02512562814070352,3.005587939698493
0.03015075376884422,3.042105527638191
0.035175879396984924,3.0703165829145735
0.04020100502512563,3.0921407035175887
0.04522613065326633,3.1136582914572863
0.05025125628140704,3.1341758793969854
0.05527638190954774,3.154693467336684
0.06030150753768844,3.1702110552763823
0.06532663316582915,3.1837286432160807
0.07035175879396985,3.1982462311557796
0.07537688442211056,3.212678391959799
0.08040201005025126,3.219281407035176
0.08542713567839195,3.2327989949748748
0.09045226130653267,3.2323165829145735
0.09547738693467336,3.2388341708542714
0.10050251256281408,3.2393517587939704
0.10552763819095477,3.238869346733669
0.11055276381909548,3.2383869346733674
0.11557788944723618,3.237904522613066
0.12060301507537688,3.2374221105527643
0.12562814070351758,3.239939698492462
0.1306532663316583,3.242457286432161
0.135678391959799,3.2419748743718597
0.1407035175879397,3.242492462311558
0.1457286432160804,3.2420100502512565
0.15075376884422112,3.2415276381909552
0.15577889447236182,3.2410452261306535
0.16080402010050251,3.2465628140703524
0.1658291457286432,3.2470804020100505
0.1708542713567839,3.246597989949749
0.17587939698492464,3.2531155778894476
0.18090452261306533,3.2536331658291457
0.18592964824120603,3.253150753768845
0.19095477386934673,3.258668341708543
0.19597989949748745,3.2591859296482415
0.20100502512562815,3.25870351758794
0.20603015075376885,3.2642211055276382
0.21105527638190955,3.2647386934673372
0.21608040201005024,3.264944723618091
0.22110552763819097,3.270773869346734
0.22613065326633167,3.2712914572864324
0.23115577889447236,3.272809045226131
0.23618090452261306,3.277125628140704
0.24120603015075376,3.2768442211055278
0.24623115577889448,3.2763618090452264
0.25125628140703515,3.281879396984925
0.2562814070351759,3.28148743718593
0.2613065326633166,3.2819145728643218
0.2663316582914573,3.2814321608040204
0.271356783919598,3.286949748743719
0.2763819095477387,3.2874673366834175
0.2814070351758794,3.286984924623116
0.2864321608040201,3.2865025125628144
0.2914572864321608,3.2916231155778894
0.2964824120603015,3.2934070351758793
0.30150753768844224,3.29305527638191
0.3065326633165829,3.2925728643216083
0.31155778894472363,3.2970904522613065
0.3165829145728643,3.297608040201005
0.32160804020100503,3.2981256281407036
0.32663316582914576,3.2976432160804023
0.3316582914572864,3.297160804020101
0.33668341708542715,3.2966783919597993
0.3417085427135678,3.297195979899498
0.34673366834170855,3.3007135678391966
0.35175879396984927,3.301231155778895
0.35678391959798994,3.301211055276382
0.36180904522613067,3.3012663316582915
0.36683417085427134,3.3007839195979902
0.37185929648241206,3.3003015075376885
0.3768844221105528,3.299819095477387
0.38190954773869346,3.299336683417086
0.3869346733668342,3.2988542713567837
0.3919597989949749,3.298371859296483
0.3969849246231156,3.297889447236181
0.4020100502512563,3.2974070351758793
0.40703517587939697,3.296924623115578
0.4120603015075377,3.2964422110552762
0.4170854271356784,3.295959798994975
0.4221105527638191,3.295477386934673
0.4271356783919598,3.295994974874372
